,Italy,"Korea, South",US,China
1/22/20,0,0,0,17
1/23/20,0,0,0,18
1/24/20,0,0,0,26
1/25/20,0,0,0,42
1/26/20,0,0,0,56
1/27/20,0,0,0,82
1/28/20,0,0,0,131
1/29/20,0,0,0,133
1/30/20,0,0,0,171
1/31/20,0,0,0,213
2/1/20,0,0,0,259
2/2/20,0,0,0,361
2/3/20,0,0,0,425
2/4/20,0,0,0,491
2/5/20,0,0,0,563
2/6/20,0,0,0,633
2/7/20,0,0,0,718
2/8/20,0,0,0,805
2/9/20,0,0,0,905
2/10/20,0,0,0,1012
2/11/20,0,0,0,1112
2/12/20,0,0,0,1117
2/13/20,0,0,0,1369
2/14/20,0,0,0,1521
2/15/20,0,0,0,1663
2/16/20,0,0,0,1766
2/17/20,0,0,0,1864
2/18/20,0,0,0,2003
2/19/20,0,0,0,2116
2/20/20,0,1,0,2238
2/21/20,1,2,0,2238
2/22/20,2,2,0,2443
2/23/20,3,6,0,2445
2/24/20,7,8,0,2595
2/25/20,10,10,0,2665
2/26/20,12,12,0,2717
2/27/20,17,13,0,2746
2/28/20,21,13,0,2790
2/29/20,29,16,1,2837
3/1/20,34,17,1,2872
3/2/20,52,28,6,2914
3/3/20,79,28,7,2947
3/4/20,107,35,11,2983
3/5/20,148,35,12,3015
3/6/20,197,42,14,3044
3/7/20,233,44,17,3072
3/8/20,366,50,21,3100
3/9/20,463,53,22,3123
3/10/20,631,54,28,3139
3/11/20,827,60,36,3161
3/12/20,827,66,40,3172
3/13/20,1266,66,47,3180
3/14/20,1441,72,54,3193
3/15/20,1809,75,63,3203
3/16/20,2158,75,85,3217
3/17/20,2503,81,108,3230
3/18/20,2978,84,118,3241
3/19/20,3405,91,200,3249
3/20/20,4032,94,244,3253
3/21/20,4825,102,307,3259
3/22/20,5476,111,417,3274
3/23/20,6077,111,557,3274
3/24/20,6820,120,706,3281
3/25/20,7503,126,942,3285
3/26/20,8215,131,1209,3291
3/27/20,9134,139,1581,3296
3/28/20,10023,144,2026,3299
